0x3E3742FD, zm_white_main_quest
0x9CF755B, zm_white_util
0x92CB027A, zm_white_toast
0x5E0D2811, time_until_timer_start
0x584620C3, zm_white_main_quest_step9_setup
0xAEA19BDA, zm_white_main_quest_step9_cleanup
0x216D58F9, a_e_players
0xDE1EDCDB, a_s_respawn_points
0xA822B92A, 8b395806-b388-4698-958e-41322ab66120
0x85F9FE79, 31e175ad-bd70-4d08-a225-43d50013d092
0x1BCC445F, caca7f7d-5bc0-4516-88ec-500cff2ed000
0x3FE71562, 978e2c8e-a309-424b-aae0-c5d0f9fc8863
0x4D10FAF7, f2c36271-dde0-4bca-8f06-c88d49ab3cd4
0x2F6D4999, ee787a32-f282-4abd-8d2e-f37cbf88e48b
0x7FB7CF6D, 4871e300-aaf4-4a3e-9bb7-e6e8a02240ab
0xDA4A38AA, 2121c54f-193a-49fc-9c27-767b936c76ba
0xCCE995F2, zm_white_main_quest_step8_setup
0x6C8C9397, df7b96a2-aeef-43cb-83d1-95130e27d1fd
0x2FCE9F6D, 994f5e65-e949-4a09-8a5d-0813ef0343cc
0xA8157B21, 650aeb14-b33e-41a1-9743-499c7d00bf87
0x24A3CB3E, d31662b8-f59f-4f49-acdd-0888b773581e
0xCB53B167, e0923798-c4c4-48f0-a370-a3c582c2ffed
0xFABD91F6, b563a306-0d87-420e-be02-fdda218705d3
0x573CFCD, e_player
0xFE42B487, e_path
0x34D8879, istouching
0xA491D9C6, e665a242-ccd3-4da3-871e-c2ea985d79b9
0xC6BD6F93, cb2004f6-303a-47c8-85cf-2a0054813e44
0x7D1182CF, e7eec7fe-6f59-4522-998b-d510e346b4db
0x90F59E6A, 82ba582a-1c68-4828-8a02-86d5516b2b87
0x82EE8153, 94565037-b6a7-4442-a8a9-19c8a168dd74
0x5B286443, str_weapon
0x24113A91, w_weapon
0x96C511FE, box_settings
0x35339971, a_forced_box_weapons
0xBAB8C381, n_forced_box_index
0x878E04F7, weapon_order
0x2C8DBE9, weaponnone
0xD8CBA2F4, player_overrides
0xAEBD0EF2, player_1
0xBC83AA7F, player_2
0xADD80CFC, player_3
0xBBFAA941, player_4
0x6D6D41F1, customrandomweaponweights
0xD019D8BC, oldcustomrandomweaponweights
0x983CE898, thread_all
0x3F5EEA7D, chests
0x8E854637, n_character_slot
0xD6C3358F, player_settings
